Date,Description,Amount,Category
2026-01-01,Electricity Bill,2400,Bills
2026-01-02,Pizza,320,FastFood
2026-01-03,Uber Ride,180,Travel
2026-01-04,Movie Ticket,450,Entertainment
2026-01-05,Grocery Shopping,2200,Household
2026-01-06,Internet Recharge,799,Bills
2026-01-07,Passport Xerox,120,Documents
2026-01-08,Burger,210,FastFood
2026-01-09,Train Ticket,950,Travel
2026-01-10,Netflix Subscription,499,Entertainment
2026-01-11,Kitchen Items,1600,Household
2026-01-12,Water Bill,700,Bills
2026-01-13,Photo Printout,90,Documents
2026-01-14,Fries and Coke,180,FastFood
2026-01-15,Bus Ticket,80,Travel
2026-01-16,Concert Ticket,1200,Entertainment
2026-01-17,Cleaning Supplies,900,Household
2026-01-18,Mobile Recharge,399,Bills
2026-01-19,Document Lamination,60,Documents
2026-01-20,Sandwich,150,FastFood
2026-01-21,Flight Booking,5200,Travel
2026-01-22,Gaming Recharge,799,Entertainment
2026-01-23,Gas Cylinder,1150,Household
2026-01-24,Electricity Bill,2600,Bills
2026-01-25,College Form Print,140,Documents
2026-01-26,Pizza,340,FastFood
2026-01-27,Cab Ride,260,Travel
2026-01-28,OTT Subscription,299,Entertainment
2026-01-29,Groceries,2500,Household
2026-01-30,Water Bill,650,Bills
2026-02-01,Passport Photo,100,Documents
2026-02-02,Burger Combo,240,FastFood
2026-02-03,Metro Card Recharge,500,Travel
2026-02-04,Cinema Ticket,600,Entertainment
2026-02-05,Home Decor,3200,Household
2026-02-06,Internet Bill,899,Bills
2026-02-07,Resume Printout,80,Documents
2026-02-08,Cold Coffee,140,FastFood
2026-02-09,Train Ticket,1200,Travel
2026-02-10,Music Subscription,149,Entertainment
2026-02-11,Detergent Purchase,450,Household
2026-02-12,Gas Bill,980,Bills
2026-02-13,ID Card Print,70,Documents
2026-02-14,Pizza Party,700,FastFood
2026-02-15,Auto Fare,110,Travel
2026-02-16,Bowling Game,850,Entertainment
2026-02-17,Kitchen Utensils,1400,Household
2026-02-18,Electricity Bill,2800,Bills
2026-02-19,Exam Form Xerox,130,Documents
2026-02-20,French Fries,170,FastFood
2026-02-21,Bus Pass,650,Travel
2026-02-22,Theme Park Ticket,2100,Entertainment
2026-02-23,Grocery Shopping,2700,Household
2026-02-24,Mobile Recharge,299,Bills
2026-02-25,Document Binding,150,Documents
2026-02-26,Burger Meal,260,FastFood
2026-02-27,Cab Booking,300,Travel
2026-02-28,Netflix Subscription,499,Entertainment
2026-03-01,Water Bill,720,Bills
2026-03-02,Passport Xerox,100,Documents
2026-03-03,Pizza,350,FastFood
2026-03-04,Train Ticket,980,Travel
2026-03-05,Movie Night,700,Entertainment
2026-03-06,Groceries,3100,Household
2026-03-07,Electricity Bill,2900,Bills
2026-03-08,Project Printout,160,Documents
2026-03-09,Burger Combo,280,FastFood
2026-03-10,Flight Ticket,6400,Travel
2026-03-11,Gaming Subscription,599,Entertainment
2026-03-12,Kitchen Appliances,4200,Household
2026-03-13,Internet Bill,999,Bills
2026-03-14,Lamination Work,90,Documents
2026-03-15,Fries and Shake,230,FastFood
2026-03-16,Metro Recharge,600,Travel
2026-03-17,Concert Pass,2500,Entertainment
2026-03-18,Home Cleaning,1300,Household
2026-03-19,Gas Cylinder,1200,Bills
2026-03-20,ID Card Copy,50,Documents
2026-03-21,Sandwich,180,FastFood
2026-03-22,Bus Ticket,100,Travel
2026-03-23,OTT Recharge,349,Entertainment
2026-03-24,Furniture Repair,2800,Household
2026-03-25,Electricity Bill,3000,Bills
2026-03-26,Certificate Print,120,Documents
2026-03-27,Pizza Party,800,FastFood
2026-03-28,Cab Ride,350,Travel
2026-03-29,Movie Ticket,500,Entertainment
2026-03-30,Groceries,2600,Household
2026-04-01,Water Bill,750,Bills
2026-04-02,Passport Print,110,Documents
2026-04-03,Burger Combo,290,FastFood
2026-04-04,Train Journey,1300,Travel
2026-04-05,Cinema Ticket,650,Entertainment
2026-04-06,Kitchen Grocery,3400,Household
2026-04-07,Internet Recharge,899,Bills
2026-04-08,Exam Form Printout,140,Documents
2026-04-09,Pizza,390,FastFood
2026-04-10,Flight Ticket,7200,Travel
2026-04-11,Music Concert,3000,Entertainment
2026-04-12,Home Maintenance,2400,Household
2026-04-13,Electricity Bill,3100,Bills
2026-04-14,Document Binding,170,Documents
2026-04-15,Cold Coffee,160,FastFood
2026-04-16,Cab Ride,320,Travel
2026-04-17,Netflix Subscription,499,Entertainment
2026-04-18,Furniture Purchase,5200,Household
2026-04-19,Gas Bill,1150,Bills
2026-04-20,Project Xerox,90,Documents
2026-04-21,Burger Meal,250,FastFood
2026-04-22,Metro Recharge,550,Travel
2026-04-23,Theme Park Visit,2400,Entertainment
2026-04-24,Groceries,3300,Household
2026-04-25,Mobile Recharge,349,Bills
2026-04-26,Certificate Printout,130,Documents
2026-04-27,Pizza Party,850,FastFood
2026-04-28,Bus Ticket,120,Travel
2026-04-29,OTT Subscription,399,Entertainment
2026-04-30,Kitchen Essentials,2800,Household
